--- Installing dependencies ---
Defaulting to user installation because normal site-packages is not writeable

[notice] A new release of pip is available: 24.2 -> 24.3.1
[notice] To update, run: pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
--- Running main.py ---
[I 2024-12-13 16:32:09,147] A new study created in memory with name: no-name-68aff836-4ebb-46e8-b381-88ab2cddf8c3
[I 2024-12-13 16:38:04,828] Trial 0 finished with value: -0.10750000178813934 and parameters: {'lr': 0.01, 'gamma': 0.9, 'max_grad_norm': 0.5, 'tau': 0.001}. Best is trial 0 with value: -0.10750000178813934.
[I 2024-12-14 04:27:51,000] Trial 119 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 04:33:49,263] Trial 120 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 04:39:49,197] Trial 121 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 04:45:45,708] Trial 122 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 04:51:45,908] Trial 123 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 04:57:46,424] Trial 124 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.



VDN OPTUNA






VDN OPTUNA



[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[I 2024-12-14 05:03:44,880] Trial 125 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 05:09:44,505] Trial 126 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 0.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 05:15:43,813] Trial 127 finished with value: -0.09433333575725555 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 05:21:43,764] Trial 128 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 05:27:44,550] Trial 129 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 05:33:44,259] Trial 130 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 05:39:44,531] Trial 131 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 05:45:45,086] Trial 132 finished with value: -0.10633334517478943 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 05:51:44,706] Trial 133 finished with value: -0.10618333518505096 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 05:57:43,227] Trial 134 finished with value: -0.10633334517478943 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 06:03:43,396] Trial 135 finished with value: -0.10633334517478943 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 06:09:43,953] Trial 136 finished with value: -0.10633334517478943 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 06:15:43,993] Trial 137 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 06:21:44,051] Trial 138 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 06:27:45,300] Trial 139 finished with value: -0.11083333194255829 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 06:33:46,093] Trial 140 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 06:39:42,249] Trial 141 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 06:45:40,988] Trial 142 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 06:51:37,306] Trial 143 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 06:57:36,825] Trial 144 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 07:03:36,196] Trial 145 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 07:09:35,929] Trial 146 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 07:15:35,217] Trial 147 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 07:21:28,820] Trial 148 finished with value: -0.09433333575725555 and parameters: {'lr': 1e-05, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 07:27:27,223] Trial 149 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 07:33:26,815] Trial 150 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 0.5, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 07:39:26,771] Trial 151 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 07:45:26,325] Trial 152 finished with value: -0.11211666464805603 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 07:51:26,931] Trial 153 finished with value: -0.10633334517478943 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 07:57:26,446] Trial 154 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 08:03:30,062] Trial 155 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 08:09:32,667] Trial 156 finished with value: -0.10458333790302277 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 08:15:34,758] Trial 157 finished with value: -0.10783333331346512 and parameters: {'lr': 0.01, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 08:21:35,295] Trial 158 finished with value: -0.11383333057165146 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 08:27:36,237] Trial 159 finished with value: -0.11270000040531158 and parameters: {'lr': 0.0001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 08:33:38,724] Trial 160 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 08:39:41,002] Trial 161 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 08:45:40,341] Trial 162 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 08:51:42,086] Trial 163 finished with value: -0.11436665803194046 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 08:57:43,431] Trial 164 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 09:03:43,428] Trial 165 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 09:09:43,663] Trial 166 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 09:15:44,538] Trial 167 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 09:21:44,891] Trial 168 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 09:27:46,341] Trial 169 finished with value: -0.10383332520723343 and parameters: {'lr': 1e-05, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 09:33:46,869] Trial 170 finished with value: -0.10300000756978989 and parameters: {'lr': 0.01, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 09:39:46,920] Trial 171 finished with value: -0.1106666624546051 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 0.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 09:45:47,013] Trial 172 finished with value: -0.10018333792686462 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 0.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 09:51:47,169] Trial 173 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 0.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 09:57:48,944] Trial 174 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 0.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 10:03:50,545] Trial 175 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 0.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 10:09:50,641] Trial 176 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 10:15:51,047] Trial 177 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 10:21:50,348] Trial 178 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 10:27:50,859] Trial 179 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 10:33:51,264] Trial 180 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 10:39:50,661] Trial 181 finished with value: -0.0989999920129776 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 10:45:49,662] Trial 182 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 10:51:50,608] Trial 183 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 10:57:51,947] Trial 184 finished with value: -0.10633334517478943 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 11:03:52,290] Trial 185 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 11:09:52,035] Trial 186 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 11:15:52,001] Trial 187 finished with value: -0.10766666382551193 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
 Retrying in 1 seconds
[CONFIRMED] Environment variable exists: SUMO_HOME
[SUCCESS] Added module directory: /usr/share/sumo/tools
